"V1" "V2" "V3" "V4" "V5"
"1" -0.352636554011482 -0.44056178901445 0.0111512724968952 0.144680968027371 -0.228658572128423
"2" 0.275959928364469 -0.44505872546834 -0.106147485597949 -0.0935505314575534 0.20347659504463
"3" 0.0777626676341373 0.058812739744243 -0.190378554715631 -0.0530541977662326 -0.00131065217688439
"4" -0.540259250217181 0.0410503679505954 0.36342521343896 -0.233631397339364 0.0262237042901437
"5" 0.292868628335936 0.437869025746516 0.00776440756037181 -0.100014349978283 -0.224253339398577
"6" 0.393684967832307 -0.248729549076778 0.298529658028111 0.221005891357301 0.181383173327288
"7" 0.258237972353917 -0.215254488518398 -0.197225157460862 -0.150000468143115 0.0802757564627208
"8" 0.37558375959445 0.215318804681986 0.242923224193274 0.0929969147100426 -0.14581404059596
"9" -0.267307867906103 0.425848517066227 -0.279402048161266 0.194850529162168 0.160557274528399
"10" 0.510105637155016 -0.0418955697975255 0.306236959222415 0.128735829830013 0.0241838707015279
"11" -0.271631060733171 -0.0511740528598222 -0.0955826902116671 0.144363061746081 -0.0239104131950632
"12" -0.198188742873048 -0.349599343530428 -0.316732823825462 0.140989804497824 -0.123192803651669
"13" -0.37543611239447 -0.217240319551605 0.24182482938906 -0.102860127080413 -0.139539028994025
"14" 0.173711785871344 0.329033904478762 -0.29413870458922 -0.11640287649614 -0.0755827381783766
"15" -0.258318445906642 0.21561721363446 -0.196154252672658 0.155195717171704 0.0693830752285088
"16" -0.386362952481175 0.261009681765511 0.243001160987818 -0.0825024073381137 0.177566325265571
