"V1" "V2" "V3"
"1" 0.05 0.2 0.1
"2" 0.15 0.4 0.5
"3" 0.15 0.7 0.7
"4" 0.45 0.6 0.7
"5" 0.75 0.4 0.7
"6" 0.7 0.1 0.8
"7" 0.8 0.9 0.3
"8" 0.45 0.4 0.9
"9" 0.15 0.8 0.4
"10" 0 0 0
"11" 0.95 0.7 0.1
"12" 0.3 0.4 0.1
"13" 0.6 0.7 0.1
"14" 0 0 0
"15" 0.85 0.2 0.4
"16" 0.5 0.2 0.4
"17" 0.2 0.2 0.7
"18" 0.35 0.6 0.3
"19" 0.45 0.9 0.5
"20" 0.45 0.7 0.9
"21" 0.8 0.6 0.4
"22" 0.8 0.7 0.8
"23" 0.15 0.1 0.4
"24" 0 0 0
