"V1" "V2" "V3" "V4"
"283" 0.695597321847691 -0.209289706917811 -0.00520984383175203 -0.0805308769899889
"151" 3.57196827091275e-17 0.177276170933575 -3.48494372248215e-16 0.0672635130521119
"17" -0.311116640651529 0.103607444041738 -0.21540810352134 -0.1087402628198
"68" -0.115471903501913 0.316599313880071 -0.187975342544306 0.0211663153367294
"211" 0.59878837855596 -0.207202512354111 -0.122089110743569 0.091388113478142
"103" -0.598788378555961 -0.207202512354111 0.122089110743568 0.0913881134781424
"93" -0.15317946624179 0.0364406762042257 -0.0724398446804859 0.0044330673430912
"258" 0.30630389950174 0.0549950464514241 0.157564288820091 -0.0764156142580184
"40" -0.420460127507407 -0.0969648451334673 -0.0454712818789815 -0.0840161704617678
"27" -0.695597321847692 -0.209289706917811 0.00520984383175224 -0.0805308769899888
"186" 0.335631282881654 -0.106199881297071 -0.0620906576606772 0.0627253702642163
"181" 0.112993230222515 0.0189761036203421 0.0372440784211171 0.0284861783346035
"118" -0.335631282881655 -0.106199881297071 0.0620906576606769 0.0627253702642169
"263" 0.472026406595287 -0.119740202917647 0.0309383564008876 -0.0750914560420363
"235" 0.170889942558317 0.283103933874995 0.210313476931478 -0.0329771837134879
"154" 0.0343880536391252 0.481807581286111 0.0250258939398711 0.108755756918828
