"V1" "V2" "V3" "V4"
"1" -0.000366625781222116 -4.54244187291378e-05 -0.000135257325371608 -1.77795874872523e-05
"2" -0.000367143192499792 -4.55009684198785e-05 -0.000135666012794271 -1.7816162899993e-05
"3" -0.000362938095739281 -4.36366381379292e-05 -0.000138501681592013 -1.57528011606949e-05
"4" -0.000363299359588966 -4.36597754302714e-05 -0.000138950648842597 -1.57465720427936e-05
"5" -0.000362341417635306 -4.45957278809325e-05 -0.000132527493187338 -1.71989691491523e-05
"6" -0.00036273065747946 -4.46927390623151e-05 -0.000132665255918747 -1.72850893863129e-05
"7" -0.000363506436096644 -4.48039424096704e-05 -0.000133256563262366 -1.73418125410455e-05
"8" -0.000362644956501649 -4.29390617154375e-05 -0.000144695940246109 -1.37429927206684e-05
"9" -0.000359440796233797 -4.28871714253114e-05 -0.000136573689772197 -1.51941149790158e-05
"10" -0.000359160181824508 -4.2846490273961e-05 -0.000136331066200518 -1.51638659035207e-05
"11" -0.000359360310517754 -4.28739021733378e-05 -0.000136509218511099 -1.51839181433629e-05
"12" -0.000358336043744094 -4.38136942270024e-05 -0.000129981124331358 -1.66491521931881e-05
"13" -0.00035882881525113 -4.39361538335984e-05 -0.000130154267019181 -1.67581023390204e-05
"14" -0.000359555757873541 -4.40535661334682e-05 -0.000130671866463305 -1.68267644800758e-05
"15" -0.000358413877331416 -4.20356644803077e-05 -0.000142139714234762 -1.30544098089418e-05
"16" -0.000358414110723688 -4.20435853264911e-05 -0.000142107442943648 -1.30640333428734e-05
"17" -0.000358438038550945 -4.2034332788973e-05 -0.000142181501530748 -1.30503391561845e-05
"18" -0.000355442099844665 -4.20508783797959e-05 -0.000134260400448471 -1.45614895592191e-05
"19" -0.000355336579883148 -4.20342407328316e-05 -0.000134172382298438 -1.45527924797358e-05
"20" -0.000355382064343229 -4.20413838155501e-05 -0.000134210566856965 -1.45564917719939e-05
"21" -0.000354395045495339 -4.31058748068153e-05 -0.00012721384210827 -1.61957058499183e-05
"22" -0.000355016167469018 -4.33021007316075e-05 -0.000127292262681737 -1.63820096768515e-05
"23" -0.00035552953692346 -4.33829617849804e-05 -0.000127668458136336 -1.64308608348661e-05
"24" -0.000360472036788053 -4.06034511815811e-05 -0.000148209787301287 -1.13955096521912e-05
"25" -0.00035498226822103 -4.12383960799157e-05 -0.000140377286736301 -1.23946696294014e-05
"26" -0.000354719414556908 -4.11924819673599e-05 -0.000140174293443027 -1.2366402386135e-05
"27" -0.000354580705083459 -4.11751404757342e-05 -0.000140036234002103 -1.23611266224857e-05
"28" -0.000354543174152723 -4.11689661033329e-05 -0.000140003867078421 -1.23576301126368e-05
"29" -0.000351544202217709 -4.12861537441618e-05 -0.000131772498971857 -1.400901481128e-05
"30" -0.000351388481321942 -4.12576001404826e-05 -0.000131662462759172 -1.39901093699643e-05
"31" -0.000351374762184585 -4.12644962495632e-05 -0.000131609164630147 -1.40012886553257e-05
"32" -0.000349883545829259 -4.19626716757519e-05 -0.000125516063417189 -1.51834147817541e-05
"33" -0.000350108284862142 -4.20051968192063e-05 -0.000125666096048713 -1.52120278370863e-05
"34" -0.000350619352706528 -4.21864030145215e-05 -0.000125627247085061 -1.5406184089431e-05
"35" -0.000356915879595894 -3.97544585866367e-05 -0.000146352283360713 -1.06758417497722e-05
"36" -0.000356943907768205 -3.98161346360742e-05 -0.00014615914557041 -1.0756783724967e-05
"37" -0.000351436355754195 -4.04711599520683e-05 -0.000138292584516957 -1.17752159613748e-05
"38" -0.000351159916791503 -4.04277467202419e-05 -0.000138063067893216 -1.17529628533913e-05
"39" -0.000350885263327418 -4.03913518297003e-05 -0.00013780589574803 -1.1739824016049e-05
"40" -0.000350753695197687 -4.03722519053605e-05 -0.000137679964367551 -1.17303278012601e-05
"41" -0.000347659480324533 -4.04479220304924e-05 -0.000129601732008623 -1.33471688080101e-05
"42" -0.000347415229557745 -4.04079052208386e-05 -0.000129406645714194 -1.33240705891775e-05
"43" -0.000347246991956705 -4.03740910743013e-05 -0.000129294105964429 -1.32995012648173e-05
"44" -0.000345326024686604 -4.10373414454789e-05 -0.000122782405668748 -1.44971598062936e-05
"45" -0.000345285360439997 -4.1026063435896e-05 -0.00012277085698896 -1.44863159962263e-05
"46" -0.000354271160864258 -3.90983060246132e-05 -0.000145014009718523 -1.00922067024323e-05
"47" -0.000353788913808746 -3.90433319426954e-05 -0.000144552605267434 -1.00846240112459e-05
"48" -0.000353432184731407 -3.89963651166147e-05 -0.000144237100901076 -1.00699268718495e-05
"49" -0.000347735263184638 -3.96457347437817e-05 -0.000136180180231345 -1.11005954066605e-05
"50" -0.000347320342163636 -3.95867006754634e-05 -0.000135817495743928 -1.10763931601985e-05
"51" -0.000346974994705634 -3.95341314700342e-05 -0.00013552228474087 -1.10505008795313e-05
"52" -0.000346638190127849 -3.94789248735617e-05 -0.00013524534777399 -1.10180538836533e-05
"53" -0.000343486670717889 -3.98943178043401e-05 -0.000127178685370358 -1.26457970404328e-05
"54" -0.000343211931441053 -3.9858078475527e-05 -0.000126968013148911 -1.2616399936002e-05
"55" -0.000343018799331089 -3.97325770289699e-05 -0.000126750844681408 -1.26116386249514e-05
"56" -0.000340905244356759 -4.05003338059083e-05 -0.000118524295876421 -1.43453989053349e-05
"57" -0.000340527669462164 -4.04194341712901e-05 -0.000118303721090532 -1.42864199678413e-05
"58" -0.000335788252205387 -4.37195441210933e-05 -8.86905730777538e-05 -1.95434602169357e-05
"59" -0.000335967947112149 -4.37560297793204e-05 -8.87981687441993e-05 -1.95701765964335e-05
"60" -0.000338370038525153 -4.57249244940375e-05 -7.9162311093477e-05 -2.19157244878404e-05
"61" -0.000338687343016519 -4.57995355701183e-05 -7.92883436745241e-05 -2.19779540103842e-05
"62" -0.000350855119004028 -3.8455244665611e-05 -0.000142401800194256 -9.62612847162949e-06
"63" -0.000350428935980297 -3.83854157928199e-05 -0.00014207766122528 -9.58847045598592e-06
"64" -0.000349919016457761 -3.83045209945655e-05 -0.000141676033783763 -9.54843692459177e-06
"65" -0.000344321481390749 -3.88833021251866e-05 -0.000134246990596864 -1.04740780069744e-05
