"V1" "V2" "V3"
"155" 601968.83 6742143.5 1969.968
"156" 601970.28 6742175.6 1989.3029
"157" 601976.11 6742209.1 1998.6686
"158" 601979.03 6742239.7 2008.554
"159" 601971.74 6742273.2 2018.9657
"160" 601965.91 6742309.6 2029.3973
"161" 601963 6742351.9 2039.1421
"162" 601964.46 6742385.4 2058.0384
"163" 601970.28 6742427.6 2065.8591
"164" 601986.31 6742461.1 2071.1034
"165" 602008.17 6742488.8 2072.2401
"166" 602027.11 6742532.5 2079.5922
"167" 602048.97 6742573.3 2084.0283
"168" 602060.62 6742614.1 2100.1722
"169" 602060.62 6742654.9 2106.6397
"170" 602057.71 6742704.5 2121.323
"171" 602050.42 6742729.2 2128.2857
"172" 602044.59 6742778.8 2132.7957
"173" 602027.11 6742812.3 2139.9191
"174" 602002.73 6742841.9 2137.4823
"175" 601923.24 6742960.7 2169.7951
"176" 601821.04 6743136 2204.121
"177" 601724.51 6743390.5 2268.0577
"178" 601599.6 6743594.2 2306.606
"179" 601531.47 6743679 2325.59
"180" 601429.26 6743724.3 2364.2708
"181" 601281.64 6743707.3 2428.0574
"182" 601241.89 6743599.8 2518.5123
"183" 601173.76 6743520.6 2578.1776
"184" 601071.56 6743464.1 2701.33
"185" 600952.32 6743492.4 2726.0469
"186" 600725.21 6743599.8 2770.7632
"187" 600583.26 6743707.3 2842.4331
"188" 600452.67 6743843 2855.4025
"189" 600401.57 6743944.8 2861.4425
"190" 600435.64 6743995.8 2836.7566
"191" 600537.84 6743967.5 2735.4647
"192" 600651.4 6743950.5 2654.4988
"193" 600702.5 6743973.1 2600.2792
"194" 600725.21 6744052.3 2553.1491
"195" 600696.82 6744154.1 2542.4164
"196" 600753.6 6744244.6 2547.0045
"197" 600867.16 6744250.3 2516.5506
"198" 600952.32 6744193.7 2507.829
"199" 601026.14 6744142.8 2478.1131
"200" 601128.34 6744086.3 2438.1424
"201" 601281.64 6744058 2404.2888
"202" 601410.81 6744060 2369.1946
"203" 601449.32 6744068.1 2365.5375
"204" 601481.74 6744090.4 2369.8257
"205" 601481.74 6744112.6 2391.7804
"206" 601475.66 6744145.1 2391.7804
"207" 601465.53 6744177.5 2396.8328
"208" 601449.32 6744201.8 2435.6942
"209" 601437.16 6744220 2435.6942
"210" 601425 6744244.4 2454.3967
"211" 601414.87 6744268.7 2454.3967
"212" 601400.68 6744293 2452.2937
"213" 601396.63 6744335.5 2453.2082
"214" 601394.6 6744363.9 2453.2082
"215" 601388.52 6744406.5 2463.164
"216" 601388.52 6744434.8 2464.1696
"217" 601386.5 6744475.4 2476.39
"218" 601386.5 6744511.8 2482.4018
"219" 601366.23 6744546.3 2496.0174
"220" 601348 6744576.7 2501.8252
"221" 601331.79 6744607.1 2529.2754
"222" 601321.66 6744641.5 2524.5108
"223" 601301.39 6744686.1 2523.5184
"224" 601285.18 6744712.4 2523.5184
"225" 601271 6744734.7 2533.8321
"226" 601250.73 6744761.1 2528.9324
"227" 601228.44 6744783.4 2543.0116
"228" 601216.28 6744807.7 2569.7428
"229" 601193.99 6744836.1 2569.7428
"230" 601163.6 6744854.3 2600.1063
"231" 601129.15 6744862.4 2600.1063
"232" 601116.98 6744861.1 2628.481
"233" 601026.14 6744787.6 2681.2759
"234" 600980.71 6744685.8 2716.8025
"235" 600963.68 6744612.3 2726.2396
"236" 600833.09 6744550.1 2728.6172
"237" 600696.82 6744493.5 2731.0806
"238" 600554.87 6744425.6 2768.7479
"239" 600441.32 6744352.1 2801.0869
"240" 600327.76 6744306.8 2842.9293
"241" 600236.91 6744227.7 2950.1469
"242" 600123.36 6744233.3 2938.5825
"243" 600055.22 6744289.9 2927.3214
"244" 599992.77 6744391.7 2907.0849
"245" 599941.66 6744487.8 2896.3088
"246" 599918.95 6744544.4 2899.2492
"247" 599907.6 6744601 2919.5422
"249" 602320 6744350 2389.419
"250" 602290 6744800 2441.881
"251" 600820 6745220 2649.369
"252" 601570 6744530 2457.602
"253" 602020 6745100 2498.988
"254" 601870 6745250 2523.56
"255" 602170 6744320 2390.935
"256" 601750 6744440 2442.586
"257" 603010 6744320 2554.428
"258" 602980 6744980 2722.472
"259" 600880 6745160 2644.556
"260" 601930 6744800 2472.244
"261" 600850 6744020 2504.221
"262" 601390 6745310 2564.417
"263" 601930 6743960 2333.899
"264" 602110 6744620 2433.887
"265" 603250 6744770 2685.507
"266" 600820 6744110 2513.562
"267" 600490 6744470 2793.917
"268" 602380 6742970 2139.5
"269" 600700 6744800 2688.203
"270" 602050 6742160 1989.841
"271" 602830 6744980 2691.391
"272" 600130 6744770 2812.67
"273" 601510 6744950 2538.02
"274" 600820 6743600 2737.743
"275" 601990 6742130 1969.968
"276" 600640 6743690 2778.838
"277" 602020 6744890 2462.854
"278" 600700 6743810 2671.129
"279" 603250 6744170 2523.153
"280" 602110 6742640 2104.651
"281" 601930 6744680 2466.639
"282" 602860 6743900 2424.931
"283" 600790 6745490 2632.933
"284" 601150 6745400 2574.354
"285" 601540 6744380 2435.01
"286" 601510 6743720 2340.24
"287" 600310 6745040 2737.377
"288" 601630 6744890 2517.534
"289" 600760 6744080 2535.819
"290" 601990 6744110 2370.35
"291" 601990 6743180 2203.99
"292" 601870 6745070 2510.702
"293" 601210 6744020 2415.155
"294" 602020 6744440 2423.751
"295" 600430 6744500 2801.387
"296" 601390 6744020 2370.864
"297" 602620 6743420 2246.175
"298" 600070 6744500 2891.418
"299" 601450 6744560 2453.175
"300" 601870 6744050 2363.348
"301" 601450 6745250 2560.084
"302" 600490 6745010 2714.994
"303" 602560 6743870 2290.512
"304" 601570 6745550 2550.668
"305" 600220 6744260 2936.587
"306" 602830 6743750 2362.921
"307" 602230 6745100 2483.893
"308" 602020 6744980 2471.459
"309" 601930 6745010 2491.952
"310" 600400 6745070 2713.901
"311" 601600 6744680 2474.958
"312" 601960 6743720 2283.951
"313" 601600 6744800 2501.906
"314" 600550 6744710 2737.859
"315" 602470 6744590 2408.28
"316" 600370 6745130 2701.047
"317" 601810 6743930 2333.51
"318" 601870 6743900 2324.232
"319" 603040 6743990 2469.912
"320" 602050 6742370 2039.845
"321" 602440 6744410 2383.657
"322" 600130 6744380 2902.024
"323" 601330 6745400 2571.55
"324" 600370 6745220 2691.875
"325" 601840 6743210 2220.347
"326" 602770 6745160 2746.016
"327" 601000 6743510 2706.166
"328" 601960 6743030 2186.667
"329" 602110 6742190 2007.82
"330" 600730 6745400 2654.783
"331" 600970 6744770 2692.701
"332" 601270 6745940 2638.613
"333" 600820 6744740 2688.477
"334" 601390 6744590 2482.271
"335" 602230 6743780 2292.936
"336" 602740 6744950 2644.748
"337" 600550 6743750 2850.987
"338" 602020 6742310 2027.076
"339" 602050 6743210 2203.584
"340" 602320 6742910 2137.53
"341" 601840 6744140 2388.261
"342" 602920 6744470 2586.768
"343" 602080 6743270 2211.023
"344" 601690 6744200 2404.703
"345" 603010 6744830 2682.087
"346" 601360 6743750 2391.88
"347" 601300 6745490 2568.319
"348" 601450 6744650 2477.419
"349" 602290 6744890 2455.25
"350" 602530 6744020 2318.309
"351" 602050 6744050 2349.815
"352" 600910 6743540 2725.553
"353" 601180 6744860 2584.747
"354" 602980 6744260 2538.663
"355" 600610 6745160 2666.009
"356" 600310 6744770 2753.943
"357" 600520 6744770 2730.054
"358" 602290 6744440 2398.638
"359" 602500 6743330 2234.149
"360" 601690 6744860 2508.44
"361" 600970 6744980 2638.06
"362" 601930 6744260 2406.222
"363" 601390 6745220 2561.615
