"V1" "V2" "V3" "V4"
"283" 0.74695322649867 -0.231420994847581 -0.0182844214961838 -0.0738693392755352
"151" 0.0305966390486779 0.252147810473266 0.035664760700042 0.0777446714155637
"17" -0.349496350952488 0.119915773823923 -0.248508086102274 -0.129673231158013
"68" -0.158325969925375 0.337494662947482 -0.22785522765092 -0.023599855490313
"211" 0.614087892110182 -0.231637739378089 -0.187791410626151 0.14950470508228
"103" -0.614087892110183 -0.23163773937809 0.18779141062615 0.14950470508228
"93" -0.119690084559025 0.0701937768162415 -0.0934174451022416 0.00674150905193658
"258" 0.349496350952486 0.119915773823923 0.248508086102275 -0.129673231158012
"40" -0.420460127507407 -0.0969648451334673 -0.0454712818789815 -0.0840161704617678
"27" -0.695597321847692 -0.209289706917811 0.00520984383175224 -0.0805308769899888
"186" 0.354353473767395 -0.132112568934163 -0.11946213555802 0.109079170556686
"181" 0.15317946624179 0.0364406762042254 0.072439844680486 0.00443306734309112
"118" -0.308487610267037 -0.110558254946077 0.0974521871371465 0.0956101381285274
"263" 0.472026406595287 -0.119740202917647 0.0309383564008876 -0.0750914560420363
"235" 0.158325969925375 0.337494662947481 0.22785522765092 -0.0235998554903128
"154" 2.38829172718466e-16 0.560033047316397 -3.04522913429298e-16 0.121739167022425
