"V1" "V2" "V3" "V4"
"462" 9.89843460713367e-05 3.35562894031351e-05 -1.08040071966399e-06 -2.06836573691402e-05
"970" 4.6676034624532e-05 6.2700768404175e-05 -1.13988093728713e-05 1.91313990147604e-06
"784" -1.95453489213966e-05 8.68019634096933e-05 -1.39423546898332e-05 3.16042620267271e-05
"1487" 0.000323564004527767 -0.000108167921601129 -2.45284619847818e-05 2.74274704736692e-05
"1111" 9.64251697356362e-05 1.88160856587571e-05 2.84491236539095e-06 -1.9551638295356e-05
"319" 0.000125270412823156 0.000266439359947549 6.19772811711855e-06 -0.000103257052732832
"1580" 0.000135164185439177 1.42258313258793e-05 9.8681618367687e-06 -4.0151487154672e-05
"1237" -5.54746640107315e-05 0.000162259775666516 2.61532931904267e-05 0.000118060308768616
"814" -5.49834315111553e-05 2.34941583908751e-05 -7.13317308615382e-06 2.79265719105522e-05
"960" -0.000287552931259378 -4.50941502979565e-05 6.04677584273098e-06 -2.07008181770577e-05
"854" -7.78887608520774e-05 -1.52602382388186e-05 1.35014819144986e-05 1.47167434943437e-05
"312" -0.000122680898974904 -2.39480375530432e-05 1.58266879383257e-05 1.3136688047432e-05
"741" -0.000217641011121203 -6.37053407183532e-05 6.75605850832351e-05 -1.05499872192079e-05
"1244" -7.59769190033766e-05 -4.94435392277585e-05 5.54823227974163e-05 -8.16476055734535e-06
"772" 2.24345695590629e-05 9.63366759063595e-05 -1.46397386702981e-05 1.39047665496002e-05
"64" 9.35855258398139e-05 2.5354237479681e-06 7.54079858841931e-06 -1.9454532554486e-05
"894" -4.82809746946904e-05 0.000121201404474011 1.64434512867981e-06 6.50560210473656e-05
"1079" -0.000194731855354907 -5.14180918491081e-05 4.89829332838706e-05 -2.90500058998836e-06
