"V1" "V2" "V3" "V4"
"625" -1.02682728843893e-05 6.42030346656121e-05 -1.24826612173206e-05 2.38504087831419e-05
"643" -0.000174071607964385 -4.46785582851084e-05 4.02000418503451e-05 1.09440622509357e-06
"1609" -0.000338799104259895 -3.52945604738743e-05 -0.000135967578513357 -6.70919889800156e-06
"822" 2.66245126094286e-05 -1.38013290375819e-05 1.83194475246405e-05 -9.87696088764339e-06
"1276" 0.000232445307235204 -5.99276590957644e-05 -1.16681103016922e-05 2.64782482811215e-06
"458" -0.000150727524172515 -5.60768547236645e-05 6.21258600127183e-05 -4.2234339049653e-06
"538" 1.49924026264386e-05 6.27393218961044e-05 -1.30429393136014e-05 1.39494670527891e-05
"1248" 0.000212410101148835 -4.45194760163664e-05 -6.18171325707739e-06 -1.07366917969356e-05
"619" 0.000160640673757303 -1.88186605335772e-05 -9.46924048218149e-08 -2.21882592218511e-05
"904" -0.000110087968429206 -7.63062118451541e-05 9.95388220501541e-05 -2.49141492913622e-05
"636" 0.00030354986669662 -9.7420498330962e-05 -2.16078728366859e-05 2.22796598283626e-05
"783" -0.000296160222431348 -3.93937797519067e-05 -3.43562135345206e-05 -1.82243787611753e-05
