"V1" "V2" "V3"
"722" 0.0890156883348777 0.999711588968851 6.15063695443745e-05
"462" 0.0889089298430639 0.999956243845925 0.000109566818423728
"714" 0.0889978952529087 0.999822795731157 7.52329909050245e-05
"1068" 0.088766585187312 0.999813899190173 0.000111364957632376
"960" 0.0889934469824165 0.999453589280301 1.60070865387723e-05
"679" 0.0889311711955251 0.999671554534421 5.66845926064649e-05
"611" 0.0890468262283234 0.999618175288514 4.61641363409414e-05
"827" 0.0889934469824165 0.999569244313099 3.75770467070302e-05
"508" 0.0888955850315871 0.999898416329525 8.93919841575207e-05
"1637" 0.0891135502857071 0.999831692272142 0.00011499148428902
"1070" 0.089149136449645 0.999760519944266 9.8213052819324e-05
"192" 0.0887727238005913 0.999674594185924 0.000104324798544848
"703" 0.0889000333020794 0.999782761296727 7.81851597550439e-05
"407" 0.0888110678922345 0.99986727843608 0.000101322245617719
"1462" 0.0891224468266916 0.999671554534421 7.45300158915669e-05
"1188" 0.0887043094004206 0.999778313026235 0.00012704911456098
"532" 0.0888333092446957 0.99964931318196 7.45816158292769e-05
