"V1" "V2" "V3"
"804" 0.0887888265397733 0.999880623247557 0.000104556434816947
"706" 0.0889311711955251 0.999738278591805 7.1023740813897e-05
"1187" 0.0888288609742035 0.999818347460665 0.000100911966802652
"292" 0.0889534125479863 0.999840588813126 8.30032298008766e-05
"1276" 0.0891224468266916 0.999818347460665 0.000111875619084886
"1193" 0.089002343523401 0.999573692583592 3.86633143612362e-05
"754" 0.0887932748102655 0.999658209722944 9.50829531496148e-05
"928" 0.0890468262283234 0.999644864911468 4.90055432557039e-05
"960" 0.0889934469824165 0.999453589280301 1.60070865387723e-05
"44" 0.088903216780995 0.999948844889339 0.000105723720304385
"358" 0.0890156883348777 0.999747175132789 6.63868636527817e-05
"608" 0.0889089298430639 0.999653761452452 5.61137312266269e-05
"904" 0.0887132059414051 0.999778313026235 0.000124630886445713
"1609" 0.0891357916381683 0.999702692427867 8.29554850309265e-05
