"V1" "V2" "V3"
"710" 0.0889445160070018 0.99964931318196 5.21045050319673e-05
"460" 0.0888155161627267 0.999840588813126 0.000101840320854383
"1209" 0.0891313433676761 0.999782761296727 0.000104608924408756
"747" 0.0887176542118974 0.999787209567219 0.000121592865975193
"943" 0.08880217135125 0.999658209722944 8.92791463627008e-05
"46" 0.0888973228225928 0.999927863880184 9.60034782452798e-05
"692" 0.0889978952529087 0.999489175444239 2.35074636914282e-05
"67" 0.0890800132917092 0.999641054226413 5.57314023778186e-05
"281" 0.0889623090889708 0.999782761296727 7.64697583775515e-05
