"V1" "V2" "V3" "V4"
"710" -7.39978779655544e-05 -6.92183721799633e-05 9.05170880361097e-05 -2.72353716911225e-05
"460" -0.00020723214004281 -4.93597642249508e-05 4.61251531640597e-05 -5.33766339556018e-06
"1209" 5.71178198328993e-05 8.95870147206544e-05 -1.29440445354601e-05 -3.31858496489823e-06
"747" -5.47654031291787e-05 -2.93028373486304e-05 3.12393453393214e-05 6.58044540577137e-07
"943" 0.000203618612992269 -4.10814621017003e-05 -5.58664972345169e-06 -1.1371505936234e-05
"46" -0.000216242134206465 -8.95999983656857e-05 0.000115373842456376 -2.45305488387125e-05
"692" -8.48548785555315e-05 3.11136359256305e-05 -1.0641782115847e-05 3.53605944676158e-05
"67" 0.000116901367571199 4.45128173760508e-06 5.91443908866258e-06 -2.71218904615757e-05
"281" 0.000149820026667896 -1.60720490464916e-05 7.6954995173601e-08 -2.02669244955247e-05
