"V1" "V2" "V3" "V4"
"722" -0.000269752363439797 -0.000117098705555878 0.000176768811581269 -4.55566791680335e-05
"462" 9.89843460713367e-05 3.35562894031351e-05 -1.08040071966399e-06 -2.06836573691402e-05
"714" 7.69863049130378e-05 4.7567949393664e-05 -9.40346258489318e-06 -1.16889596678157e-05
"1068" 2.82163376774694e-07 -2.85973505480599e-05 3.25167023739672e-05 -1.1990906136924e-05
"960" -0.000287552931259378 -4.50941502979565e-05 6.04677584273098e-06 -2.07008181770577e-05
"679" -7.35656835068698e-05 -3.63933667604967e-05 3.74353625692934e-05 8.02457504806225e-07
"611" -4.94194098778563e-05 -5.88196571999096e-05 7.43268845819841e-05 -2.46750302585978e-05
"827" -8.71628486670068e-05 0.000167763536497619 4.71970929952646e-05 0.000155149953848851
"508" -0.000303693045550041 -4.46768870361484e-05 -1.96779069258234e-05 -2.20181755088188e-05
"1637" -0.000306706326709251 -2.96420312716797e-05 -0.000111870537988993 -3.11590540337667e-06
"1070" 0.000304090117486105 -9.7893632098024e-05 -2.18212507130451e-05 2.23655456900253e-05
"192" -9.03915992380839e-05 0.000188043749605202 5.90209474614723e-05 0.000180538416726911
"703" 0.000202897017193649 -3.76470277924439e-05 -4.02971693994775e-06 -1.57589452413867e-05
"407" 4.46943662981185e-05 9.22927390228389e-05 -1.40437176339659e-05 2.9932036401146e-06
"1462" 0.000305919692358087 -9.79728584931053e-05 -2.12840593721722e-05 2.06364922775584e-05
"1188" -7.55563192265961e-05 4.15609383736118e-05 -1.05148829750396e-05 3.8845570617852e-05
"532" -0.000264580670954454 -8.72918127237495e-05 0.000104417907881778 -2.61013432165626e-05
