"V1" "V2" "V3" "V4"
"1279" 0.000330360794400489 -0.000111604793935482 -2.53359332470216e-05 2.87794155489387e-05
"627" 5.1496158202656e-05 0.000105307918689665 -1.33408292009813e-05 -1.96904431516631e-06
"754" -0.000294805343225483 -3.11271775649212e-05 -8.97159015988941e-05 -7.38762835583497e-06
"783" -0.000296160222431348 -3.93937797519067e-05 -3.43562135345206e-05 -1.82243787611753e-05
"460" -0.00020723214004281 -4.93597642249508e-05 4.61251531640597e-05 -5.33766339556018e-06
"281" 0.000149820026667896 -1.60720490464916e-05 7.6954995173601e-08 -2.02669244955247e-05
"46" -0.000216242134206465 -8.95999983656857e-05 0.000115373842456376 -2.45305488387125e-05
"1232" 7.71311273075404e-05 0.00010518248859458 -1.15118123279347e-05 -1.73327736667506e-05
"747" -5.47654031291787e-05 -2.93028373486304e-05 3.12393453393214e-05 6.58044540577137e-07
"692" -8.48548785555315e-05 3.11136359256305e-05 -1.0641782115847e-05 3.53605944676158e-05
