"Var1" "Var2"
"269" 1 0.8
"270" 0.25 0.85
"271" 0.3 0.85
"272" 0.35 0.85
"273" 0.4 0.85
"274" 0.45 0.85
"275" 0.5 0.85
"276" 0.55 0.85
"277" 0.6 0.85
"278" 0.65 0.85
"279" 0.7 0.85
"280" 0.75 0.85
"281" 0.8 0.85
"282" 0.85 0.85
"283" 0.9 0.85
"284" 0.95 0.85
"285" 1 0.85
"286" 0.4 0.9
"287" 0.45 0.9
"288" 0.5 0.9
"289" 0.55 0.9
"290" 0.6 0.9
"291" 0.65 0.9
"292" 0.7 0.9
"293" 0.75 0.9
"294" 0.8 0.9
"295" 0.85 0.9
"296" 0.9 0.9
"297" 0.95 0.9
"298" 1 0.9
