"V1" "V2" "V3" "V4" "V5"
"496" -0.17286071106803 0.0544184354353763 -0.0797942928721256 0.0974198160470315 0.0087998036478886
"573" 0.184246123011417 -0.107206676055288 0.030982565255921 -0.0747989503103096 0.0337793053173255
"1221" -0.540165146835392 -0.00133354787429875 0.364305955121161 -0.233839338708356 0.00772947205023539
"1057" -0.522623297548809 -0.135071785756318 0.214698746068055 -0.0501957465253358 -0.0809371261649746
"41" 0.183181838139292 0.395544136866579 -0.393275427380478 -0.11513995117315 -0.0820792775513922
"203" -0.0803006908530646 -0.172714649773997 -0.320146482992337 0.0410523071684555 -0.00812179267589945
"329" -0.160682178949418 -0.408114172554998 -0.208791061693712 0.0461856418234639 -0.153875799350996
"981" 0.370974971012527 -0.170605443333241 0.23905948304711 0.111581337236649 0.114272653724338
"390" -0.370950284250623 0.417531213671966 -0.205438095645518 0.182835511885029 0.199093095216961
"419" 0.302914741307541 0.350894545663303 -0.0891844074445085 -0.163373908196055 -0.140007559561511
"100" -0.171231369883753 0.345498152482619 -0.398269124547416 0.107213169320836 0.059628477246613
"31" 0.171097361685868 -0.34418386974552 -0.400016969904629 -0.10260287952165 0.0671623053372416
"311" 0.0779312821336336 0.117717525102214 -0.188564287183664 -0.0537040612527718 -0.00412275770469346
"1004" 0.308159240462485 0.170345285963354 0.239064382123839 0.15900579833997 -0.123173529544354
"1143" -0.45851339591003 0.160539760867284 0.297615447094093 -0.163887537325891 0.126634125312279
"695" 0.365686765712621 -0.345885002401637 0.0843568194826581 -0.0651803331643946 0.170792203652904
"884" -0.229358224178426 -0.18999004180705 0.18364306856528 -0.095098565815701 -0.0943411895965717
"1185" 0.604843317328119 -0.00127638323742475 0.369589341680163 0.177793187001871 -0.00576273510125639
"649" -0.316247535393428 -0.344053145255645 0.0212775526511183 0.137421404954826 -0.17679643877414
"266" 0.292175848826234 -0.415625381566395 -0.192841672693009 -0.159232490118947 0.169555392256404
"625" -0.177803261605281 0.348974188637028 0.0248279851667724 0.0353510079764779 0.174046711871853
"824" 0.485394052721856 0.184991815323795 0.134996210614241 -0.0241422529348307 -0.115596396288893
"926" -0.385313809264312 0.182207394586898 0.157397854008553 -0.00476177703462632 0.107162736877903
"233" -0.256700738353409 -0.374015645231842 -0.286428564101249 0.175136144207117 -0.152412445894718
