"V1" "V2" "V3" "V4"
"234" 0.158325969925375 0.337494662947481 0.22785522765092 -0.0235998554903128
"113" -0.112993230222515 0.0189761036203424 -0.037244078421117 0.0284861783346035
"148" 3.13080511714907e-16 0.408569176360255 5.54133004803068e-17 0.0944044494053921
"180" 0.0802591484823223 0.053805401592944 0.0589180481538143 0.0329078624873236
"103" -0.598788378555961 -0.207202512354111 0.122089110743568 0.0913881134781424
"49" -0.158325969925375 0.337494662947482 -0.22785522765092 -0.023599855490313
"257" 0.272151356637397 0.0873834862436715 0.181040928622581 -0.0830321978267169
"278" 0.464601530553768 -0.0754721139691446 0.0777854897244525 -0.0958182424941799
"204" 0.262629276660668 -0.0589474704127725 0.0066148533368763 0.00502042660928816
"283" 0.695597321847691 -0.209289706917811 -0.00520984383175203 -0.0805308769899889
"27" -0.695597321847692 -0.209289706917811 0.00520984383175224 -0.0805308769899888
"208" 0.456684213863339 -0.145414960774456 -0.0655654603722047 0.0503082162625601
"35" -0.272151356637397 0.0873834862436721 -0.18104092862258 -0.0830321978267175
"98" -0.360295969862121 -0.102675032372683 0.028717943181451 0.0258219459859536
"22" -0.464601530553769 -0.075472113969144 -0.0777854897244518 -0.0958182424941805
"212" 0.645716973439153 -0.227364937635256 -0.140889134415939 0.10509760663449
