"V1" "V2" "V3" "V4" "V5"
"574" 0.183873059241101 -0.053131021631675 0.0287097480955427 -0.073650247591054 0.0197967402008289
"473" -0.080526627198252 -0.175098115129708 -0.0595198157900303 0.0597544112520193 -0.0221196050013204
"100" -0.171231369883753 0.345498152482619 -0.398269124547416 0.107213169320836 0.059628477246613
"266" 0.292175848826234 -0.415625381566395 -0.192841672693009 -0.159232490118947 0.169555392256404
"1231" -0.603734072468004 0.039432343149668 0.368829075076333 -0.178926500248354 0.0279336707898467
"161" 0.156373720690809 -0.170097322519667 -0.303439089391248 -0.104189679338744 0.0389732751842091
"1134" -0.462147831274349 -0.20341010886163 0.296901890010909 -0.16413804012563 -0.149717342028206
"927" -0.389732464584192 0.231282089770767 0.161794960956985 0.00509295474854903 0.129514417076005
"367" -0.292175848826237 -0.415625381566393 -0.192841672693011 0.159232490118945 -0.169555392256401
"301" 0.160682178949414 -0.408114172554999 -0.208791061693712 -0.0461856418234651 0.153875799350997
"957" 0.519714606230891 0.0876666795344155 0.219306969333065 0.0409600378444093 -0.0537728091382832
"1192" 0.537944937057707 -0.0861993413765877 0.360814739040229 0.238876257214505 0.0301944763033304
"1005" 0.311864523251766 0.217176255743951 0.242323770478481 0.149112431856649 -0.149258029581022
"313" 0.0818569891315119 0.231317625324345 -0.183160319961356 -0.0568737030500855 -0.0158215572392759
"563" 0.3164384668651 0.343356541612561 0.0230218993682455 -0.149307934571929 -0.166116910746713
"780" -0.365686765712623 -0.345885002401635 0.0843568194826565 0.0651803331643945 -0.170792203652903
"478" -0.0777225612337328 0.118289025392269 -0.059937755890463 0.0613493595465345 0.00775764047129964
"831" 0.398800206046134 -0.282842956821441 0.159453057129472 0.00121813288384531 0.154708239844192
"91" -0.171097361685872 -0.344183869745518 -0.40001696990463 0.10260287952165 -0.0671623053372403
"626" -0.19964472727456 0.393195023871531 0.0166441350254667 0.0367484967936962 0.211273377227937
"921" -0.378420374367118 -0.0457092016346076 0.155552036303144 -0.0175221421693231 -0.0262824642020279
"389" -0.364391839266129 0.364212389337881 -0.206666769062142 0.185504751548061 0.18217838628871
"1018" -0.304029476742665 0.129888754391021 0.238761575297463 -0.166618271276321 0.0874379046304018
"23" 0.253921677268031 0.392681929702153 -0.383207538507217 -0.179355565305932 -0.124526371115048
